command+Y | 删除行
command+D | 复制一行
command+X | 剪切删除行
command+shift+V | 可以复制多个文本
shift+f6 | 重命名
command+R | 替换
command+option+左右箭头 | 返回上次编辑的位置
command+shift+上下箭头 | 把代码上移或着下移
command+option+B | 可以导航到一个抽象方法的实现代码
ctrl+enter | 出现生成get,set方法的界面
command+J | 可以生成一些自动代码，比如for循环
option+enter | 导入包，自动修改
ctrl+shift+space | 代码补全，这个会判断可能用到的，这个代码补全和代码提示是不一样的
ctrl+shift+/ | 多行注释/*...*/
command+P | 方法参数提示
command+option+T | 把选中的代码放在 TRY{} IF{} ELSE{} 里
command+shift+回车 | 补全结尾分号
command+shift+U | 大小写转换
ctrl+shift+J | 把多行连接成一行，会去掉空格的行
command+option+L | 格式化代码
option+f7 | 查找在哪里使用，并在控制台显示
选中文本，按command+shift+F7 | 高亮显示所有该文本，按Esc高亮消失。
command+F | 在当前文件里查找文本，enter向下看，shift+f3向上看
command+N | 查找类名
command+shift+N | 查找文件名
ctrl+shift+F  | 可以在整个工程或着某个目录下面查找变量
option+f1 | 在弹出菜单中打开查找文件所在位置
command+B | 找变量的来源，如果是变量本身，则显示变量在哪儿被使用
ctrl+shift+B | 查找选中的字符在工程中出现的地方，如果是方法则转到返回值类，如果是变量则转到变量类
command+G | 显示当前行号列号
option+shift+C | 最近修改的文件
command+E | 最近打开的文件
command+f12 | 可以显示当前文件的结构
option+f8 | debug时选中查看值
